date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:32	68068/68068	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/index.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/index.html	(from )
22:28:33	236/236	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Apr%202024%2021:28:33%20GMT	https://templates.iqonic.design/robots.txt		(from )
22:28:33	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5c60ba28b6394%22	https://templates.iqonic.design/findash/html/images/favicon.ico	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/images/favicon.ico	(from https://templates.iqonic.design/findash/html/index.html)
22:28:33	184554/184554	---M-Z	200	added ('OK')	text/css	etag:%222d0ea-5c60ba28a4a53-gzip%22	https://templates.iqonic.design/findash/html/css/bootstrap.min.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/css/bootstrap.min.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:33	34547/34547	---M-Z	200	added ('OK')	text/css	etag:%2286f3-5c60ba28a59f3-gzip%22	https://templates.iqonic.design/findash/html/css/typography.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/css/typography.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:34	98169/98169	---M-Z	200	added ('OK')	text/css	etag:%2217f79-5c8688ac5093a-gzip%22	https://templates.iqonic.design/findash/html/css/style.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/css/style.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:34	26571/26571	---M-Z	200	added ('OK')	text/css	etag:%2267cb-5d7a8a2a5af99-gzip%22	https://templates.iqonic.design/findash/html/css/responsive.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/css/responsive.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:34	27268/27268	---M-Z	200	added ('OK')	text/css	etag:%226a84-5c60ba28b1573-gzip%22	https://templates.iqonic.design/findash/html/fullcalendar/core/main.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/fullcalendar/core/main.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:34	1807/1807	---M-Z	200	added ('OK')	text/css	etag:%2270f-5c60ba28b34b4-gzip%22	https://templates.iqonic.design/findash/html/fullcalendar/daygrid/main.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/fullcalendar/daygrid/main.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:35	7304/7304	---M-Z	200	added ('OK')	text/css	etag:%221c88-5c60ba28b4454-gzip%22	https://templates.iqonic.design/findash/html/fullcalendar/timegrid/main.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/fullcalendar/timegrid/main.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:35	1938/1938	---M-Z	200	added ('OK')	text/css	etag:%22792-5c60ba28b4454-gzip%22	https://templates.iqonic.design/findash/html/fullcalendar/list/main.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/fullcalendar/list/main.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:35	15954/15954	---M-Z	200	added ('OK')	text/css	etag:%223e52-5c60ba28a4a53-gzip%22	https://templates.iqonic.design/findash/html/css/flatpickr.min.css	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/css/flatpickr.min.css	(from https://templates.iqonic.design/findash/html/index.html)
22:28:36	3978/3978	---M--	200	added ('OK')	image/png	etag:%22f8a-5c60ba28b6394%22	https://templates.iqonic.design/findash/html/images/logo.png	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/images/logo.png	(from https://templates.iqonic.design/findash/html/index.html)
22:28:36	72485/72485	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-1.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-1.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:36	66146/66146	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-2.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-2.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:36	69444/69444	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-3.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-3.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:37	60518/60518	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-4.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-4.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:37	54498/54498	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-5.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-5.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:37	79845/79845	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/dashboard-6.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/dashboard-6.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:37	77098/77098	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/horizontal-menu.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/horizontal-menu.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:38	56773/56773	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/horizontal-top-menu.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/horizontal-top-menu.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:38	72698/72698	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/two-sidebar.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/two-sidebar.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:38	60550/60550	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/vertical-top-menu.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/vertical-top-menu.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:38	43006/43006	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/calendar.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/calendar.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:39	114912/114912	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/profile.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/profile.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:39	58148/58148	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/profile-edit.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/profile-edit.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:39	48177/48177	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/add-user.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/add-user.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:39	56538/56538	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/user-list.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/user-list.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:40	691471/691471	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/app/index.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/app/index.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:40	43253/43253	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/app/email-compose.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/app/email-compose.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:40	50867/50867	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-colors.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-colors.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:40	50002/50002	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-typography.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-typography.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:41	75610/75610	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-alerts.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-alerts.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:41	50717/50717	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-badges.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-badges.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:42	50516/50516	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-breadcrumb.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-breadcrumb.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:42	69313/69313	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-buttons.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-buttons.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:42	68062/68062	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-cards.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-cards.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:42	51646/51646	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-carousel.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-carousel.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:43	43038/43038	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-embed-video.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-embed-video.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:43	64261/64261	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-grid.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-grid.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:43	52557/52557	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-images.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-images.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:43	56415/56415	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-list-group.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-list-group.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:44	49994/49994	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-media-object.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-media-object.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:44	68136/68136	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-modal.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-modal.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:44	56387/56387	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-notifications.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-notifications.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:44	55478/55478	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-pagination.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-pagination.html	(from https://templates.iqonic.design/findash/html/index.html)
22:28:44	48255/48255	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2009:49:48%20GMT	https://templates.iqonic.design/findash/html/ui-popovers.html	C:/Mes%20Sites%20Web/dashboard/templates.iqonic.design/findash/html/ui-popovers.html	(from https://templates.iqonic.design/findash/html/index.html)
