date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:49	67006/67006	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Nov%202022%2007:34:44%20GMT	https://webdevcode.com/html/pylon1/index.html	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/index.html	(from )
23:42:49	1163/1163	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Apr%202024%2022:42:49%20GMT	https://webdevcode.com/robots.txt		(from )
23:42:49	14165/14165	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202022%2007:47:18%20GMT	https://webdevcode.com/html/pylon1/assets/images/favicons/apple-touch-icon.png	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/images/favicons/apple-touch-icon.png	(from https://webdevcode.com/html/pylon1/index.html)
23:42:50	1234/1234	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202022%2007:47:19%20GMT	https://webdevcode.com/html/pylon1/assets/images/favicons/favicon-32x32.png	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/images/favicons/favicon-32x32.png	(from https://webdevcode.com/html/pylon1/index.html)
23:42:50	567/567	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Nov%202022%2007:47:18%20GMT	https://webdevcode.com/html/pylon1/assets/images/favicons/favicon-16x16.png	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/images/favicons/favicon-16x16.png	(from https://webdevcode.com/html/pylon1/index.html)
23:42:50	160403/160403	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2007:37:59%20GMT	https://webdevcode.com/html/pylon1/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/css/bootstrap.min.css	(from https://webdevcode.com/html/pylon1/index.html)
23:42:50	99365/99365	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2007:38:00%20GMT	https://webdevcode.com/html/pylon1/assets/css/fontawesome-all.min.css	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/css/fontawesome-all.min.css	(from https://webdevcode.com/html/pylon1/index.html)
23:42:51	13677/13677	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2007:38:04%20GMT	https://webdevcode.com/html/pylon1/assets/css/swiper.min.css	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/css/swiper.min.css	(from https://webdevcode.com/html/pylon1/index.html)
23:42:51	83884/83884	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2007:37:58%20GMT	https://webdevcode.com/html/pylon1/assets/css/animate.min.css	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/css/animate.min.css	(from https://webdevcode.com/html/pylon1/index.html)
23:42:51	1872/1872	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Nov%202022%2007:38:04%20GMT	https://webdevcode.com/html/pylon1/assets/css/pylon-icons.css	C:/Mes%20Sites%20Web/nano/webdevcode.com/html/pylon1/assets/css/pylon-icons.css	(from https://webdevcode.com/html/pylon1/index.html)
